Features,choco,z3
40,32880461,319947319
80,135530662,882093711
120,298993878,2161263418
160,662839865,3469456776
200,888819739,6466059627
240,1719392357,4407910780
320,3687597423,12635935671
400,6421507732,16521188376
480,9470600527,34659453272
640,12284291060,27192346951
800,23994194656,29960293565
960,34208818137,73833140542
1280,32552615993,39985979259
1600,122251646909,94135046116
1920,151817148547,146286917707
2560,297842035006,177110462344
3200,479450900368,375503619249
3840,744132037669,394128741541
5120,1268011263382,1052091553979
6400,2022272236013,537372926726
