Features,choco,z3
40,0.1676320548383092,0.13301330485266552
80,0.03511852941922921,0.0538522316469755
120,0.032214652978270295,0.048975942480757435
160,0.04547345261615198,0.07261923865645566
200,0.032110681943688414,0.04947938916819782
240,0.040500877014706275,0.06784805525147798
320,0.06515288915334971,0.1129428504219591
400,0.06191823802934642,0.09504564398681652
480,0.09328052987825182,0.16155570502630184
640,0.1570830189050515,0.2798123113061128
800,0.14696975805327633,0.23427945329241567
960,0.24432027920899554,0.42726175557118257
1280,0.5329710216804963,0.9608420097870826
1600,0.33744151492736896,0.5812785707718718
1920,0.5999546962104966,1.1247615624482417
2560,1.7816752157309177,3.2719295737764518
3200,1.4505246184736957,2.462483752862485
3840,0.723270461757905,1.4137313457294114
5120,7.60420671096315,13.785662630182946
6400,3.6450115564614505,6.609051927351886
