SCS,choco,z3
2,774691702.661239,1343552357.909002
3,611311555.2821172,1089962781.9397757
4,484827725.04828244,883929183.4385902
5,453944958.5317219,832325402.8497194
6,446809725.4247907,819892060.3505846
7,426916413.22061336,787764251.008588
8,405014927.90952045,749399717.1184813
9,428378414.49703765,789913936.8438219
10,411621596.1701259,761314188.8063374
11,398762858.2137889,739070726.6661146
12,389825744.28033257,723720223.323408
13,393660086.119214,730102323.5530475
14,387285758.9177588,718648376.6560854
15,406420115.1072538,751773700.039738
16,381520647.1063585,708800584.0332322
17,392477754.5229914,727833315.9554595
18,383525657.59721345,712619386.6879604
19,385869763.8324494,716260479.405739
20,393205092.5498563,729157634.6201714
